datetime,temperature,relative_humidity,apparent_temperature,rain,visibility
2024-04-13 13:09:44,23.1,50,24.0,0.0,24140.0
2024-04-13 14:13:01,23.8,45,24.1,0.0,24140.0
2024-04-13 14:13:07,23.8,45,24.1,0.0,24140.0
2024-04-13 15:07:42,24.4,43,23.8,0.0,24140.0
